2013-10-29 09:02:41.596946|INFO    |ServerLibPriv |   | TeamSpeak 3 Server 3.0.6.1 (2012-06-29 07:59:05)
2013-10-29 09:02:41.597222|INFO    |DatabaseQuery |   | dbPlugin name:    SQLite3 plugin, Version 2, (c)TeamSpeak Systems GmbH
2013-10-29 09:02:41.597253|INFO    |DatabaseQuery |   | dbPlugin version: 3.7.3
2013-10-29 09:02:41.597434|INFO    |DatabaseQuery |   | checking database integrity (may take a while)
2013-10-29 09:02:42.060963|INFO    |Accounting    |   | Licensing Information
2013-10-29 09:02:42.061015|INFO    |Accounting    |   | type              : Non-profit
2013-10-29 09:02:42.061053|INFO    |Accounting    |   | starting date     : Tue Jun  4 00:00:00 2013
2013-10-29 09:02:42.061070|INFO    |Accounting    |   | ending date       : Tue Dec 17 00:00:00 2013
2013-10-29 09:02:42.061085|INFO    |Accounting    |   | max virtualservers: 10
2013-10-29 09:02:42.061098|INFO    |Accounting    |   | max slots         : 512
2013-10-29 09:02:42.080707|INFO    |FileManager   |   | listening on 0.0.0.0:30033
2013-10-29 09:02:42.411220|INFO    |CIDRManager   |   | updated query_ip_whitelist ips: 127.0.0.1, 
2013-10-29 09:02:42.411574|INFO    |Query         |   | listening on 0.0.0.0:10011
2013-10-29 09:02:42.746766|ERROR   |Accounting    |   | too many slots hosted, shutting down!
2013-10-29 09:23:18.382714|INFO    |ServerMain    |   | Received signal SIGTERM, shutting down.
